Test Number	Result Number	CAS Number 	 Chemical Name	Chemical Grade	Chemical Analysis	Test Method	 Chemical Purity Mean Op 	 Chemical Purity Mean(%) 	 Chemical Purity Min Op 	 Chemical Purity Min(%) 	 Chemical Purity Max Op 	 Chemical Purity Max(%)	Species Scientific Name 	 Species Common Name	Species Kingdom 	 Species Phylum 	 Species Sub Phylum 	 Species Superclass 	 Species Class 	 Species Order 	 Species Family 	 Species Genus 	 Species 	 Variety	Species Group	Organism Lifestage	 Organism Age Mean Op 	 Organism Age Mean 	 Organism Age Min Op 	 Organism Age Min 	 Organism Age Max Op 	 Organism Age Max 	 Age Units	Organism Source	 Organism Initial Weight Mean Op 	 Organism Initial Weight Mean 	 Organism Initial Weight Min Op 	 Organism Initial Weight Min 	 Organism Initial Weight Max Op 	 Organism Initial Weight Max 	 Organism Initial Weight Units	Gender	Organism Comment	Exposure Type	Media Type 	 Test Location	Number of Doses	Conc 1 Type (Author) 	 Conc 1 Mean Op (Author) 	 Conc 1 Mean (Author) 	 Conc 1 Min Op (Author) 	 Conc Min 1 (Author) 	 Conc 1 Max Op (Author) 	 Conc 1 Max (Author) 	 Conc 1 Units (Author) 	 Conc 2 Type (Author) 	 Conc 2 Mean Op (Author) 	 Conc 2 Mean (Author) 	 Conc 2 Min Op (Author) 	 Conc Min 2 (Author) 	 Conc 2 Max Op (Author) 	 Conc 2 Max (Author) 	 Conc 2 Units (Author) 	 Conc 3 Type (Author) 	 Conc 3 Mean Op (Author) 	 Conc 3 Mean (Author) 	 Conc 3 Min Op (Author) 	 Conc Min 3 (Author) 	 Conc 3 Max Op (Author) 	 Conc 3 Max (Author) 	 Conc 3 Units (Author)	Conc 1 Type (Standardized) 	 Conc 1 Mean Op (Standardized) 	 Conc 1 Mean (Standardized) 	 Conc 1 Min Op (Standardized) 	 Conc Min 1 (Standardized) 	 Conc 1 Max Op (Standardized) 	 Conc 1 Max (Standardized) 	 Conc 1 Units (Standardized) 	 Conc 2 Type (Standardized) 	 Conc 2 Mean Op (Standardized) 	 Conc 2 Mean (Standardized) 	 Conc 2 Min Op (Standardized) 	 Conc Min 2 (Standardized) 	 Conc 2 Max Op (Standardized) 	 Conc 2 Max (Standardized) 	 Conc 2 Units (Standardized) 	 Conc 3 Type (Standardized) 	 Conc 3 Mean Op (Standardized) 	 Conc 3 Mean (Standardized) 	 Conc 3 Min Op (Standardized) 	 Conc Min 3 (Standardized) 	 Conc 3 Max Op (Standardized) 	 Conc 3 Max (Standardized) 	 Conc 3 Units (Standardized)	Effect 	 Effect Measurement	EE Comment	Endpoint 	 BCF 1 Value Op 	 BCF 1 Value 	 BCF 1 Min Op 	 BCF 1 Min 	 BCF 1 Max Op 	 BCF 1 Max 	 BCF 1 Unit 	 BCF 2 Value Op 	 BCF 2 Value 	 BCF 2 Min Op 	 BCF 2 Min 	 BCF 2 Max Op 	 BCF 2 Max 	 BCF 2 Unit 	 BCF 3 Value Op 	 BCF 3 Value 	 BCF 3 Min Op 	 BCF 3 Min 	 BCF 3 Max Op 	 BCF 3 Max 	 BCF 3 Unit	Response Site	 Effect Percent Mean Op 	 Effect Percent Mean 	 Effect Percent Min Op 	 Effect Percent Min 	 Effect Percent Max Op 	 Effect Percent Max	Ionic Fraction 1 	 Ionic Fraction 2 	 Ionic Fraction 3	Statistical Significance 	 Significance Level Mean Op 	 Significance Level Mean 	 Significance Level Min Op 	 Significance Level Min 	 Significance Level Max Op 	 Significance Level Max	Endpoint Assignment	 Observed Duration Mean Op (Days) 	 Observed Duration Mean (Days) 	 Observed Duration Min Op (Days) 	 Observed Duration Min (Days) 	 Observed Duration Max Op (Days) 	 Observed Duration Max (Days) 	 Observed Duration Units (Days)	 Observed Duration Mean Op (Author) 	 Observed Duration Mean (Author) 	 Observed Duration Min Op (Author) 	 Observed Duration Min (Author) 	 Observed Duration Max Op (Author) 	 Observed Duration Max (Author) 	 Observed Duration Units (Author)	Chemical Formulation	Chemical Radiolabel	Chemical Comment	Chemical Carrier	Species NCBI TaxID	Species ECOTOX Number	Habitat	 Study Duration Mean Op (Author) 	 Study Duration Mean (Author) 	 Study Duration Min Op (Author) 	 Study Duration Min (Author) 	 Study Duration Max Op (Author) 	 Study Duration Max (Author) 	 Study Duration Unit (Author)	 Study Duration Mean Op (Days) 	 Study Duration Mean (Days) 	 Study Duration Min Op (Days) 	 Study Duration Min (Days) 	 Study Duration Max Op (Days) 	 Study Duration Max (Days) 	 Study Duration Unit (Days)	 Application Frequency Mean Op 	 Application Frequency Mean 	 Application Frequency Min Op 	 Application Frequency Min 	 Application Frequency Max Op 	 Application Frequency Max 	 Application Frequency Unit	 Exposure Duration Mean Op (Author) 	 Exposure Duration Mean (Author) 	 Exposure Duration Min Op (Author) 	 Exposure Duration Min (Author) 	 Exposure Duration Max Op (Author) 	 Exposure Duration Max (Author) 	 Exposure Duration Units (Author)	 Exposure Duration Mean Op (Days) 	 Exposure Duration Mean (Days) 	 Exposure Duration Min Op (Days) 	 Exposure Duration Min (Days) 	 Exposure Duration Max Op (Days) 	 Exposure Duration Max (Days) 	 Exposure Duration Units (Days)	Control	Study Type	Test Type	Exposure Sample Number	Doses	Experimental Design	Sub-Habitat 	 Sub-Habitat Description	Sub-Habitat Comment	Geographic Term 	 Geographic Term Description	Geographic Location	Latitude 	 Longitude	Substrate Term (field only)	Substrate Comment (field only)	Application Type	Application Date	 Application Season 	 Application Season Description	Half-Life Mean Op 	 Half-Life Mean 	 Half-Life Min Op 	 Half-Life Min 	 Half-Life Max Op 	 Half-Life Max 	 Half-Life Unit	Application Rate 	 Application Rate Units	 Water Depth Mean Op 	 Water Depth Mean 	 Water Depth Min Op 	 Water Depth Min 	 Water Depth Max Op 	 Water Depth Max 	 Water Depth Units	Result Sample Number Mean Op 	 Result Sample Number Mean 	 Result Sample Number Min Op 	 Result Sample Number Min 	 Result Sample Number Max Op 	 Result Sample Number Max 	 Result Sample Unit	Trend 	 Species Final Weight Mean Op 	 Species Final Weight Mean 	 Species Final Weight Min Op 	 Species Final Weight Min 	 Species Final Weight Max Op 	 Species Final Weight Max 	 Species Final Weight Units	 Intake Rate Mean Op 	 Intake Rate Mean 	 Intake Rate Min Op 	 Intake Rate Min 	 Intake Rate Max Op 	 Intake Rate Max 	 Intake Rate Units	 Result Percent Lipid Mean Op 	 Result Percent Lipid Mean 	 Result Percent Lipid Min Op 	 Result Percent Lipid Min 	 Result Percent Lipid Max Op 	 Result Percent Lipid Max	 Dry/Wet 	 Result Percent Dry/Wet Weight Mean Op 	 Result Percent Dry/Wet Weight Mean 	 Result Percent Dry/Wet Weight Min Op 	 Result Percent Dry/Wet Weight Min 	 Result Percent Dry/Wet Weight Max Op 	 Result Percent Dry/Wet Weight Max	Steady State	Other Effects	Result Comment	 Temperature Mean Op 	 Temperature Mean 	 Temperature Min Op 	 Temperature Min 	 Temperature Max Op 	 Temperature Max 	 Temperature Units	 Hardness Mean Op 	 Hardness Mean 	 Hardness Min Op 	 Hardness Min 	 Hardness Max Op 	 Hardness Max 	 Hardness Units	 Alkalinity Mean Op 	 Alkalinity Mean 	 Alkalinity Min Op 	 Alkalinity Min 	 Alkalinity Max Op 	 Alkalinity Max 	 Alkalinity Units	 Dissolved Oxygen Mean Op 	 Dissolved Oxygen Mean 	 Dissolved Oxygen Min Op 	 Dissolved Oxygen Min 	 Dissolved Oxygen Max Op 	 Dissolved Oxygen Max 	 Dissolved Oxygen Units	 pH Mean Op 	 pH Mean 	 pH Min Op 	 pH Min 	 pH Max Op 	 pH Max	 Salinity Mean Op 	 Salinity Mean 	 Salinity Min Op 	 Salinity Min 	 Salinity Max Op 	 Salinity Max 	 Salinity Units	 Conductivity Mean Op 	 Conductivity Mean 	 Conductivity Min Op 	 Conductivity Min 	 Conductivity Max Op 	 Conductivity Max 	 Conductivity Units	Organic Carbon Type 	 Organic Carbon Mean Op 	 Organic Carbon Mean 	 Organic Carbon Min Op 	 Organic Carbon Min 	 Organic Carbon Max Op 	 Organic Carbon Max 	 Organic Carbon Units	 Humic Acid Mean Op 	 Humic Acid Mean 	 Humic Acid Min Op 	 Humic Acid Min 	 Humic Acid Max Op 	 Humic Acid Max 	 Humic Acid Units	 Sodium Mean Op 	 Sodium Mean 	 Sodium Min Op 	 Sodium Min 	 Sodium Max Op 	 Sodium Max 	 Sodium Units	 Chlorine Mean Op 	 Chlorine Mean 	 Chlorine Min Op 	 Chlorine Min 	 Chlorine Max Op 	 Chlorine Max 	 Chlorine Units	 Dissolved Inorganic Carbon Mean Op 	 Dissolved Inorganic Carbon Mean 	 Dissolved Inorganic Carbon Min Op 	 Dissolved Inorganic Carbon Min 	 Dissolved Inorganic Carbon Max Op 	 Dissolved Inorganic Carbon Max 	 Dissolved Inorganic Carbon Units	 Calcium Mean Op 	 Calcium Mean 	 Calcium Min Op 	 Calcium Min 	 Calcium Max Op 	 Calcium Max 	 Calcium Units	 Potassium Mean Op 	 Potassium Mean 	 Potassium Min Op 	 Potassium Min 	 Potassium Max Op 	 Potassium Max 	 Potassium Units	 Magnesium Mean Op 	 Magnesium Mean 	 Magnesium Min Op 	 Magnesium Min 	 Magnesium Max Op 	 Magnesium Max 	 Magnesium Units	 Sulfate Mean Op 	 Sulfate Mean 	 Sulfate Min Op 	 Sulfate Min 	 Sulfate Max Op 	 Sulfate Max 	 Sulfate Units	 Sulfur Mean Op 	 Sulfur Mean 	 Sulfur Min Op 	 Sulfur Min 	 Sulfur Max Op 	 Sulfur Max 	 Sulfur Units	General Comments	Author 	 Reference Number 	 Title 	 Source 	 Publication Year
2090583	2165356	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Analytical or HPLC Grade	Unmeasured	Not reported		NR		NR		NR	Chlorella fusca var. vacuolata	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Chlorococcales	Oocystaceae	Chlorella	fusca	var. vacuolata	Algae	Not reported		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"STRAIN 211-15, 1000000 CELLS PER ML"	Static	Fresh water	Lab	NR	Active ingredient		3.4		2.4		7.6	umol/L																	Active ingredient		1.15071028		0.81226608		2.57217592	AI mg/L																	Population	Population growth rate		EC50							--															Not reported		NR		NR		NR	NR			Not applicable		NA		NA		NA	Author		1		NR		NR	Day(s)		24		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide			4594	Water		24		NR		NR	Hour(s)		1		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		24		NR		NR	Hour(s)		1		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not reported	Not reported																																			NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	EC10 EC90 RATIO	 		28*					C							NR							NR							NR		7.6*											NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Thies,F., and L.H. Grimme"	79140	"Effects of Cytochrome P450-Interacting Plant Growth Retardants, Fungicides and Related Compounds on Cell Development and Phase-I Biotransformation Capacity of Unicellular Photoautotrophic Green Algae"	Pestic. Sci.47(4): 337-346	1996
2090584	2165358	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Analytical or HPLC Grade	Unmeasured	Not reported		NR		NR		NR	Chlorella sorokiniana	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Chlorococcales	Oocystaceae	Chlorella	sorokiniana		Algae	Not reported		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"STRAIN 211-8K, 1000000 CELLS PER ML"	Static	Fresh water	Lab	NR	Active ingredient		68		28		212	umol/L																	Active ingredient		23.0142056		9.4764376		71.7501704	AI mg/L																	Population	Population growth rate		EC50							--															Not reported		NR		NR		NR	NR			Not applicable		NA		NA		NA	Author		1		NR		NR	Day(s)		24		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide		3076	584	Water		24		NR		NR	Hour(s)		1		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		24		NR		NR	Hour(s)		1		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not reported	Not reported																																			NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	EC10 EC90 RATIO	 		37*					C							NR							NR							NR		7.6*											NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Thies,F., and L.H. Grimme"	79140	"Effects of Cytochrome P450-Interacting Plant Growth Retardants, Fungicides and Related Compounds on Cell Development and Phase-I Biotransformation Capacity of Unicellular Photoautotrophic Green Algae"	Pestic. Sci.47(4): 337-346	1996
2090584	2165357	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Analytical or HPLC Grade	Unmeasured	Not reported		NR		NR		NR	Chlorella sorokiniana	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Chlorococcales	Oocystaceae	Chlorella	sorokiniana		Algae	Not reported		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"STRAIN 211-8K, 1000000 CELLS PER ML"	Static	Fresh water	Lab	NR	Active ingredient		393		NR		NR	umol/L																	Active ingredient		133.0085706		NR		NR	AI mg/L																	Population	Abundance	MSMT/CELL VOLUME//	EC50							--															Not reported		NR		NR		NR	NR			Not applicable		NA		NA		NA	Author		1		NR		NR	Day(s)		24		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide		3076	584	Water		24		NR		NR	Hour(s)		1		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		24		NR		NR	Hour(s)		1		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not reported	Not reported																																			NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	EC10 EC90 RATIO	 		37*					C							NR							NR							NR		7.6*											NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Thies,F., and L.H. Grimme"	79140	"Effects of Cytochrome P450-Interacting Plant Growth Retardants, Fungicides and Related Compounds on Cell Development and Phase-I Biotransformation Capacity of Unicellular Photoautotrophic Green Algae"	Pestic. Sci.47(4): 337-346	1996
2090583	2165355	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Analytical or HPLC Grade	Unmeasured	Not reported		NR		NR		NR	Chlorella fusca var. vacuolata	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Chlorococcales	Oocystaceae	Chlorella	fusca	var. vacuolata	Algae	Not reported		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"STRAIN 211-15, 1000000 CELLS PER ML"	Static	Fresh water	Lab	NR	Active ingredient		44		35		53	umol/L																	Active ingredient		14.8915448		11.845547		17.9375426	AI mg/L																	Population	Abundance	MSMT/CELL VOLUME//	EC50							--															Not reported		NR		NR		NR	NR			Not applicable		NA		NA		NA	Author		1		NR		NR	Day(s)		24		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide			4594	Water		24		NR		NR	Hour(s)		1		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		24		NR		NR	Hour(s)		1		NR		NR	Day(s)	Control data is presented but without accompanying methodology	Not reported	Not reported																																			NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	EC10 EC90 RATIO	 		28*					C							NR							NR							NR		7.6*											NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Thies,F., and L.H. Grimme"	79140	"Effects of Cytochrome P450-Interacting Plant Growth Retardants, Fungicides and Related Compounds on Cell Development and Phase-I Biotransformation Capacity of Unicellular Photoautotrophic Green Algae"	Pestic. Sci.47(4): 337-346	1996
2090669	2165512	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Analytical or HPLC Grade	Unmeasured	Not reported		NR		NR		NR	Chlorella sorokiniana	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Chlorococcales	Oocystaceae	Chlorella	sorokiniana		Algae	Not reported		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"STRAIN 211-8k, 1000000 CELLS PER ML"	Static	Fresh water	Lab	NR	Active ingredient		NR		2		50	uM																	Active ingredient		NR		0.6768884		16.92221	AI mg/L																	Enzyme(s)	Enzyme activity	"MSMT/MSMT/ECOD,EROD////"	NR							--															Not reported		NR/	>	10/	>	90/	NR			Not reported		NR		NR		NR	Not reported		0.0417		NR		NR	Day(s)		1		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide		3076	584	Water		1		NR		NR	Hour(s)		0.0417		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		1		NR		NR	Hour(s)		0.0417		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	NR	0 uM / 2 uM / 10 uM / 50 uM																																	4		NR		NR	Samples	Increasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		"EFCT%/FROM GRAPH, INCREASE OVER CONTROL// "		28*					C							NR							NR							NR													NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	"  EFCT%/FROM GRAPH, INCREASE OVER CONTROL// "	"Thies,F., and L.H. Grimme"	79140	"Effects of Cytochrome P450-Interacting Plant Growth Retardants, Fungicides and Related Compounds on Cell Development and Phase-I Biotransformation Capacity of Unicellular Photoautotrophic Green Algae"	Pestic. Sci.47(4): 337-346	1996
2090668	2165511	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Analytical or HPLC Grade	Unmeasured	Not reported		NR		NR		NR	Chlorella fusca var. vacuolata	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Chlorococcales	Oocystaceae	Chlorella	fusca	var. vacuolata	Algae	Not reported		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"STRAIN 211-15, 1000000 CELLS PER ML"	Static	Fresh water	Lab	NR	Active ingredient		NR		2		50	uM																	Active ingredient		NR		0.6768884		16.92221	AI mg/L																	Enzyme(s)	Enzyme activity	"MSMT/MSMT/ECOD,EROD////"	NR							--															Not reported		NR/	>	0/	<=	100/	NR			Not reported		NR		NR		NR	Not reported		0.0417		NR		NR	Day(s)		1		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide			4594	Water		1		NR		NR	Hour(s)		0.0417		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		1		NR		NR	Hour(s)		0.0417		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	NR	0 uM / 2 uM / 10 uM / 50 uM																																	4		NR		NR	Samples	Increasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		"EFCT%/FROM GRAPH, INCREASE OVER CONTROL// "		28*					C							NR							NR							NR													NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	"  EFCT%/FROM GRAPH, INCREASE OVER CONTROL// "	"Thies,F., and L.H. Grimme"	79140	"Effects of Cytochrome P450-Interacting Plant Growth Retardants, Fungicides and Related Compounds on Cell Development and Phase-I Biotransformation Capacity of Unicellular Photoautotrophic Green Algae"	Pestic. Sci.47(4): 337-346	1996
2118610	2216679	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not reported		NR		NR		NR	Chlamydomonas reinhardtii	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Volvocales	Chlamydomonadaceae	Chlamydomonas	reinhardtii		Algae; Standard Test Species	Stationary growth phase		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"AXENIC, 1000000 CELLS/ML"	Aquatic - not reported	Fresh water	Lab	6	Formulation		0.005/		NR/		NR/	ug/ml																	Formulation		0.005		NR		NR	AI mg/L																	Biochemistry	Chlorophyll B concentration		LOEC							--															Not reported		NR		NR		NR	NR			Significant at all concentrations		0.05		NR		NR	ECOTOX	<=	14		NR		NR	Day(s)	<=	336		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide		3055	318	Water		336		NR		NR	Hour(s)		14		NR		NR	Day(s)		NR		NR		NR	Not reported		336		NR		NR	Hour(s)		14		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	NR	0 ug/ml / 0.005 ug/ml / 0.05 ug/ml / 0.5 ug/ml / 5.0 ug/ml / 50.0 ug/ml	3 REPLICATES																																NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	"METABOLISM, RECOVERY, ABIOTIC DEGRADATION, MIXTURE"	CONC1/ALL CELLS AT THE TWO HIGHEST CONCENTRATIONS BECAME CHLOROTIC AND NON-MOTILE AT 12 HOURS// 		21					C							NR							NR							NR		6.8											NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	  CONC1/ALL CELLS AT THE TWO HIGHEST CONCENTRATIONS BECAME CHLOROTIC AND NON-MOTILE AT 12 HOURS// 	"Ladouceur,M.F."	167313	Biodegradation of the Organophosphorus Insecticide Fenitrothion by the Alga Chlamydomonas reinhardtii: The Role of Cytochrome P450 Monooxygenase	"M.S.Thesis, University of Ottawa, Canada:185 p."	1992
2118610	2216671	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not reported		NR		NR		NR	Chlamydomonas reinhardtii	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Volvocales	Chlamydomonadaceae	Chlamydomonas	reinhardtii		Algae; Standard Test Species	Stationary growth phase		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"AXENIC, 1000000 CELLS/ML"	Aquatic - not reported	Fresh water	Lab	6	Formulation		0.5/		NR/		NR/	ug/ml																	Formulation		0.5		NR		NR	AI mg/L																	Population	Population growth rate		LOEC							--															Not reported		NR		NR		NR	NR			Significant		0.05		NR		NR	ECOTOX	<=	14		NR		NR	Day(s)	<=	336		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide		3055	318	Water		336		NR		NR	Hour(s)		14		NR		NR	Day(s)		NR		NR		NR	Not reported		336		NR		NR	Hour(s)		14		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	NR	0 ug/ml / 0.005 ug/ml / 0.05 ug/ml / 0.5 ug/ml / 5.0 ug/ml / 50.0 ug/ml	3 REPLICATES																																NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	"METABOLISM, RECOVERY, ABIOTIC DEGRADATION, MIXTURE"	CONC1/ALL CELLS AT THE TWO HIGHEST CONCENTRATIONS BECAME CHLOROTIC AND NON-MOTILE AT 12 HOURS// 		21					C							NR							NR							NR		6.8											NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	  CONC1/ALL CELLS AT THE TWO HIGHEST CONCENTRATIONS BECAME CHLOROTIC AND NON-MOTILE AT 12 HOURS// 	"Ladouceur,M.F."	167313	Biodegradation of the Organophosphorus Insecticide Fenitrothion by the Alga Chlamydomonas reinhardtii: The Role of Cytochrome P450 Monooxygenase	"M.S.Thesis, University of Ottawa, Canada:185 p."	1992
2118610	2216678	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not reported		NR		NR		NR	Chlamydomonas reinhardtii	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Volvocales	Chlamydomonadaceae	Chlamydomonas	reinhardtii		Algae; Standard Test Species	Stationary growth phase		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"AXENIC, 1000000 CELLS/ML"	Aquatic - not reported	Fresh water	Lab	6	Formulation		0.005/		NR/		NR/	ug/ml																	Formulation		0.005		NR		NR	AI mg/L																	Biochemistry	Chlorophyll A concentration		LOEC							--															Not reported		NR		NR		NR	NR			Significant at all concentrations		0.05		NR		NR	ECOTOX	<=	14		NR		NR	Day(s)	<=	336		NR		NR	Hour(s)	Not reported	NR	Piperonyl butoxide		3055	318	Water		336		NR		NR	Hour(s)		14		NR		NR	Day(s)		NR		NR		NR	Not reported		336		NR		NR	Hour(s)		14		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	NR	0 ug/ml / 0.005 ug/ml / 0.05 ug/ml / 0.5 ug/ml / 5.0 ug/ml / 50.0 ug/ml	3 REPLICATES																																NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	"METABOLISM, RECOVERY, ABIOTIC DEGRADATION, MIXTURE"	CONC1/ALL CELLS AT THE TWO HIGHEST CONCENTRATIONS BECAME CHLOROTIC AND NON-MOTILE AT 12 HOURS// 		21					C							NR							NR							NR		6.8											NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	  CONC1/ALL CELLS AT THE TWO HIGHEST CONCENTRATIONS BECAME CHLOROTIC AND NON-MOTILE AT 12 HOURS// 	"Ladouceur,M.F."	167313	Biodegradation of the Organophosphorus Insecticide Fenitrothion by the Alga Chlamydomonas reinhardtii: The Role of Cytochrome P450 Monooxygenase	"M.S.Thesis, University of Ottawa, Canada:185 p."	1992
2118610	2216672	51036	"5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1,3-benzodioxole"	Not reported	Unmeasured	Not reported		NR		NR		NR	Chlamydomonas reinhardtii	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Volvocales	Chlamydomonadaceae	Chlamydomonas	reinhardtii		Algae; Standard Test Species	Stationary growth phase		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	"AXENIC, 1000000 CELLS/ML"	Aquatic - not reported	Fresh water	Lab	6	Formulation		0.5		NR		NR	ug/ml																	Formulation		0.5		NR		NR	AI mg/L																	Population	Biomass	MSMT/CELL WEIGHT//	LOEC							--															Not reported		NR		NR		NR	NR			Significant		0.05		NR		NR	ECOTOX		2		NR		NR	Day(s)		2		NR		NR	Day(s)	Not reported	NR	Piperonyl butoxide		3055	318	Water		336		NR		NR	Hour(s)		14		NR		NR	Day(s)		NR		NR		NR	Not reported		336		NR		NR	Hour(s)		14		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	NR	0 ug/ml / 0.005 ug/ml / 0.05 ug/ml / 0.5 ug/ml / 5.0 ug/ml / 50.0 ug/ml	3 REPLICATES																																NR		NR		NR	Not reported	Increasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	"METABOLISM, RECOVERY, ABIOTIC DEGRADATION, MIXTURE"	 		21					C							NR							NR							NR		6.8											NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Ladouceur,M.F."	167313	Biodegradation of the Organophosphorus Insecticide Fenitrothion by the Alga Chlamydomonas reinhardtii: The Role of Cytochrome P450 Monooxygenase	"M.S.Thesis, University of Ottawa, Canada:185 p."	1992
